curve_id,source_group,temperature_C,conversion_fraction,Mn,PDI,conversion_gap,Mw_derived
MMA_fig2b__T45,MMA_fig2b,45.0,0.159953494700127,11757.9250720461,1.21936284008991,0.0,14337.176909414491
MMA_fig2b__T45,MMA_fig2b,45.0,0.304337608687585,12795.3890489913,1.50052376892156,0.0,19199.78540061008
MMA_fig2b__T45,MMA_fig2b,45.0,0.413293589442307,17463.9769452449,1.45160618778167,0.0,25350.816996993923
MMA_fig2b__T45,MMA_fig2b,45.0,0.60120963253392,22074.9279538904,1.81545395152092,0.0,40076.01518342995
MMA_fig2b__T55,MMA_fig2b,55.0,0.097537445424299,8184.43804034582,1.5571926871671,0.0,12744.74706499874
MMA_fig2b__T55,MMA_fig2b,55.0,0.158147703800818,11239.1930835734,1.37605944168226,0.0,15465.797759541132
MMA_fig2b__T55,MMA_fig2b,55.0,0.242109559560178,10317.0028818443,1.54968939284883,0.0,15988.149931984924
MMA_fig2b__T55,MMA_fig2b,55.0,0.360891021756069,12219.0201729106,1.62452744527002,0.0,19850.133625201295
MMA_fig2b__T55,MMA_fig2b,55.0,0.559523073307689,19250.7204610951,1.53482011361245,0.0,29546.3929652195
MMA_fig2b__T55,MMA_fig2b,55.0,0.671447477458535,21210.3746397694,1.61787458336563,0.0,34315.72603334585
MMA_fig2b__T65,MMA_fig2b,65.0,0.106348715538459,9510.08645533141,1.41703079495498,0.0,13476.085369888855
MMA_fig2b__T65,MMA_fig2b,65.0,0.279917378882141,10547.5504322766,1.56637912897117,0.0,16521.462858888906
MMA_fig2b__T65,MMA_fig2b,65.0,0.474443111402456,13659.9423631123,1.70758634435868,0.0,23325.531043977204
MMA_fig2b__T65,MMA_fig2b,65.0,0.648753880595169,19020.1729106628,1.77858859224644,0.0,33829.06256145962
STY_fig2d__T55,STY_fig2d,55.0,0.0389541088580576,4358.97435897436,1.27926078028747,0.0,5576.264939714614
STY_fig2d__T55,STY_fig2d,55.0,0.159551760939167,6974.35897435897,1.46406570841889,0.0,10210.919812562508
STY_fig2d__T55,STY_fig2d,55.0,0.25026680896478104,9743.58974358974,1.85420944558521,0.0,18066.656136471272
STY_fig2d__T55,STY_fig2d,55.0,0.278014941302027,10153.8461538461,1.62012320328542,0.0,16450.481756436486
STY_fig2d__T55,STY_fig2d,55.0,0.316435432230522,11641.0256410256,1.50513347022587,0.0,17521.297320065198
STY_fig2d__T65,STY_fig2d,65.0,0.147812166488794,4512.82051282051,1.26694045174537,0.0,5717.474859158589
STY_fig2d__T65,STY_fig2d,65.0,0.241195304162219,7897.4358974359,1.39835728952771,0.0,11043.437055757304
STY_fig2d__T65,STY_fig2d,65.0,0.354855923159018,8205.1282051282,1.62012320328542,0.0,13293.318591059848
STY_fig2d__T65,STY_fig2d,65.0,0.39114194236926303,12666.6666666666,1.48870636550307,0.0,18856.94729637212
STY_fig2d__T75,STY_fig2d,75.0,0.153148345784418,5282.05128205128,1.28336755646817,0.0,6778.8132469857155
STY_fig2d__T75,STY_fig2d,75.0,0.243863393810032,8051.28205128205,1.38193018480492,0.0,11126.309693044737
STY_fig2d__T75,STY_fig2d,75.0,0.311099252934898,10384.6153846153,1.50513347022587,0.0,15630.232190806984
STY_fig2d__T75,STY_fig2d,75.0,0.394343649946638,11948.7179487179,1.56262833675564,0.0,18671.405254567315
STY_fig2d__T75,STY_fig2d,75.0,0.41675560298826,13025.641025641,1.57084188911704,0.0,20461.222555678327
