subset_name,fold,model_name,evaluation_view,metric_name,metric_value,summary_level
primary_mma_flow_conversion,4.0,random_forest,target_space,r2,0.9402503990542925,fold
primary_mma_flow_conversion,4.0,random_forest,conversion_space,mae,0.004330293311766866,fold
primary_mma_flow_conversion,4.0,random_forest,conversion_space,rmse,0.0053594095865720824,fold
primary_mma_flow_conversion,4.0,random_forest,conversion_space,r2,0.9424237207674083,fold
primary_mma_flow_conversion,4.0,small_mlp,target_space,mae,0.07879624188548075,fold
primary_mma_flow_conversion,4.0,small_mlp,target_space,rmse,0.08888757747049185,fold
primary_mma_flow_conversion,4.0,small_mlp,target_space,r2,-13.353455735054737,fold
primary_mma_flow_conversion,4.0,small_mlp,conversion_space,mae,0.053520743059048796,fold
primary_mma_flow_conversion,4.0,small_mlp,conversion_space,rmse,0.06384394266799948,fold
primary_mma_flow_conversion,4.0,small_mlp,conversion_space,r2,-7.170508690430394,fold
secondary_sty_flow_conversion,1.0,kinetic_anchor,target_space,mae,0.002575873839323136,fold
secondary_sty_flow_conversion,1.0,kinetic_anchor,target_space,rmse,0.0032952665485262134,fold
secondary_sty_flow_conversion,1.0,kinetic_anchor,target_space,r2,0.8925390356596556,fold
secondary_sty_flow_conversion,1.0,kinetic_anchor,conversion_space,mae,0.002470339553623027,fold
secondary_sty_flow_conversion,1.0,kinetic_anchor,conversion_space,rmse,0.003154944221839607,fold
secondary_sty_flow_conversion,1.0,kinetic_anchor,conversion_space,r2,0.8932426894702975,fold
secondary_sty_flow_conversion,1.0,random_forest,target_space,mae,0.006738375967575203,fold
secondary_sty_flow_conversion,1.0,random_forest,target_space,rmse,0.007283578667230909,fold
secondary_sty_flow_conversion,1.0,random_forest,target_space,r2,0.4750000468606653,fold
secondary_sty_flow_conversion,1.0,random_forest,conversion_space,mae,0.006477196314841719,fold
secondary_sty_flow_conversion,1.0,random_forest,conversion_space,rmse,0.00698538410415908,fold
secondary_sty_flow_conversion,1.0,random_forest,conversion_space,r2,0.47664685717244826,fold
secondary_sty_flow_conversion,1.0,small_mlp,target_space,mae,0.1737015284694422,fold
secondary_sty_flow_conversion,1.0,small_mlp,target_space,rmse,0.18345597449058015,fold
secondary_sty_flow_conversion,1.0,small_mlp,target_space,r2,-332.06834078812994,fold
secondary_sty_flow_conversion,1.0,small_mlp,conversion_space,mae,0.152138121657635,fold
